id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	20	24	20.027544360	0.834481015	1	10	24	24	0.833602467	-0.830509623	480	480	1.000000000	24	20	0.833333333	480	308	0.641666667	480	2.800713311	1.899883303	4479	3477	0.776289350
case_001	20	24	8.462017356	0.352584057	1	21	24	24	0.250769604	-0.250698013	480	479	0.997916667	24	22	0.916666667	479	335	0.699373695	479	2.158152286	1.238337734	4480	3420	0.763392857
case_002	21	24	28.237722860	1.176571786	0	0	24	24	1.024569843	-0.930313068	480	478	0.995833333	24	16	0.666666667	478	292	0.610878661	478	2.493188447	0.412354901	4463	3281	0.735155725
case_003	21	24	7.554003337	0.314750139	1	3	24	24	0.297916814	-0.288395673	480	480	1.000000000	24	22	0.916666667	480	314	0.654166667	480	2.244529645	1.165337550	4501	3501	0.777827150
case_004	18	24	12.767870602	0.531994608	1	3	24	24	0.490093400	-0.488555001	480	478	0.995833333	24	19	0.791666667	478	362	0.757322176	478	2.099086204	1.397336803	4448	3492	0.785071942
case_005	16	24	27.879002397	1.161625100	1	8	24	24	1.091251368	-1.058228703	480	480	1.000000000	24	18	0.750000000	480	312	0.650000000	480	2.646131931	1.314232545	4491	3472	0.773101759
case_006	20	24	2.293474335	0.095561431	1	24	24	24	0.097738882	-0.073081213	480	479	0.997916667	24	24	1.000000000	479	345	0.720250522	479	2.618337605	2.171724764	4477	3455	0.771722135
case_007	17	24	14.436169889	0.601507079	1	4	24	24	0.484951772	-0.457791282	480	480	1.000000000	24	18	0.750000000	480	302	0.629166667	480	2.233525206	0.729532053	4480	3423	0.764062500
case_008	22	24	10.185576432	0.424399018	1	8	24	24	0.420240128	-0.373898373	480	478	0.995833333	24	22	0.916666667	478	328	0.686192469	478	2.118348054	0.547293444	4466	3463	0.775414241
case_009	17	24	11.234475140	0.468103131	1	11	24	24	0.317000862	-0.218430053	480	480	1.000000000	24	20	0.833333333	480	313	0.652083333	480	2.199553955	1.428737436	4484	3438	0.766726137
case_010	28	24	12.692088677	0.528837028	1	10	24	24	0.530738335	-0.468767499	480	479	0.997916667	24	21	0.875000000	479	321	0.670146138	479	2.544668558	1.594101373	4497	3501	0.778519013
case_011	22	24	9.298153542	0.387423064	1	10	24	24	0.368311758	-0.296994000	480	479	0.997916667	24	21	0.875000000	479	303	0.632567850	479	2.539217557	1.341736408	4473	3380	0.755644981
case_012	23	24	9.670170555	0.402923773	1	8	24	24	0.349449430	-0.349336959	480	480	1.000000000	24	21	0.875000000	480	328	0.683333333	480	2.719213903	2.356509658	4491	3356	0.747272322
case_013	24	24	15.799736506	0.658322354	0	0	24	24	0.552666723	-0.552601427	480	477	0.993750000	24	19	0.791666667	477	275	0.576519916	477	2.852667658	1.746921398	4432	3256	0.734657040
