id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	20	24	20.036150832	0.834839618	1	10	24	24	0.833155050	-0.830868226	480	480	1.000000000	24	19	0.791666667	480	308	0.641666667	480	3.119155127	2.428067991	4479	3473	0.775396294
case_001	20	24	9.867728036	0.411155335	1	14	24	24	0.309313560	-0.309269291	480	479	0.997916667	24	20	0.833333333	479	338	0.705636743	479	1.929102950	1.004762360	4480	3475	0.775669643
case_002	21	24	23.428576181	0.976190674	0	0	24	24	0.876904658	-0.729931957	480	478	0.995833333	24	18	0.750000000	478	301	0.629707113	478	2.427781085	0.342707586	4463	3340	0.748375532
case_003	21	24	10.947220601	0.456134192	1	3	24	24	0.433147180	-0.429779725	480	480	1.000000000	24	21	0.875000000	480	337	0.702083333	480	2.094213574	0.737257645	4501	3515	0.780937569
case_004	18	24	10.400796781	0.433366533	1	3	24	24	0.391236861	-0.389926925	480	478	0.995833333	24	19	0.791666667	478	365	0.763598326	478	1.753249372	0.794232382	4448	3556	0.799460432
case_005	16	24	23.717125208	0.988213550	1	8	24	24	0.945835493	-0.884817153	480	480	1.000000000	24	20	0.833333333	480	318	0.662500000	480	2.597256450	1.188222011	4491	3522	0.784235137
case_006	20	24	1.614444160	0.067268507	0	0	24	24	0.059003092	-0.044788289	480	479	0.997916667	24	23	0.958333333	479	346	0.722338205	479	2.187592179	1.524239777	4477	3512	0.784453875
case_007	17	24	8.935156217	0.372298176	1	7	24	24	0.317648010	-0.228582379	480	480	1.000000000	24	20	0.833333333	480	316	0.658333333	480	1.890117468	0.553256111	4480	3472	0.775000000
case_008	22	24	7.727021574	0.321959232	1	3	24	24	0.287814416	-0.271458587	480	478	0.995833333	24	22	0.916666667	478	356	0.744769874	478	1.552201379	0.289453574	4466	3581	0.801836095
case_009	17	24	11.427810659	0.476158777	1	3	24	24	0.342268434	-0.226485700	480	480	1.000000000	24	20	0.833333333	480	325	0.677083333	480	2.072791672	1.353162871	4484	3485	0.777207850
case_010	28	24	10.810279508	0.450428313	1	10	24	24	0.427276075	-0.390358783	480	479	0.997916667	24	21	0.875000000	479	332	0.693110647	479	2.154130578	1.541168001	4497	3567	0.793195464
case_011	22	24	11.689753096	0.487073046	1	6	24	24	0.409776809	-0.396643982	480	479	0.997916667	24	19	0.791666667	479	307	0.640918580	479	2.398501784	1.138786614	4473	3455	0.772412251
case_012	23	24	7.737855817	0.322410659	1	4	24	24	0.283969439	-0.268823845	480	480	1.000000000	24	21	0.875000000	480	341	0.710416667	480	2.282763974	1.874672569	4491	3410	0.759296371
case_013	24	24	11.728109433	0.488671226	0	0	24	24	0.391698628	-0.382950299	480	477	0.993750000	24	19	0.791666667	477	285	0.597484277	477	2.513398862	1.635737707	4432	3291	0.742554152
