id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	20	24	43.771319912	1.823804996	0	0	24	24	1.819833605	-1.819833605	480	480	1.000000000	24	12	0.500000000	480	155	0.322916667	480	7.337058790	6.752380164	4479	3053	0.681625363
case_001	20	24	28.119651892	1.171652162	1	10	24	24	1.069766119	-1.069766119	480	479	0.997916667	24	16	0.666666667	479	191	0.398747390	479	4.779321318	3.890171335	4480	3066	0.684375000
case_002	21	24	56.142386976	2.339266124	0	0	24	24	2.093007406	-2.093007406	480	478	0.995833333	24	11	0.458333333	478	157	0.328451883	478	4.030507747	2.026782462	4463	2992	0.670401076
case_003	21	24	29.217411276	1.217392137	0	0	24	24	1.191037670	-1.191037670	480	480	1.000000000	24	15	0.625000000	480	182	0.379166667	480	6.842436467	6.503469523	4501	3063	0.680515441
case_004	18	24	27.870779941	1.161282498	0	0	24	24	1.120417789	-1.117842890	480	478	0.995833333	24	15	0.625000000	478	192	0.401673640	478	6.364384408	5.900454911	4448	3032	0.681654676
case_005	16	24	37.937409493	1.580725396	1	1	24	24	1.477328998	-1.477328998	480	480	1.000000000	24	14	0.583333333	480	189	0.393750000	480	6.520018953	5.670013236	4491	3119	0.694500111
case_006	20	24	14.787228157	0.616134507	0	0	24	24	0.605985648	-0.593654289	480	479	0.997916667	24	20	0.833333333	479	187	0.390396660	479	7.542448410	7.393004514	4477	3049	0.681036408
case_007	17	24	39.117993601	1.629916400	1	3	24	24	1.511334104	-1.486200603	480	480	1.000000000	24	15	0.625000000	480	160	0.333333333	480	3.813848471	2.571971823	4480	3151	0.703348214
case_008	22	24	28.151099233	1.172962468	0	0	24	24	1.129617839	-1.122461823	480	478	0.995833333	24	16	0.666666667	478	203	0.424686192	478	5.198248642	4.281221801	4466	3109	0.696148679
case_009	17	24	34.835772601	1.451490525	1	11	24	24	1.238982952	-1.201817447	480	480	1.000000000	24	17	0.708333333	480	169	0.352083333	480	5.242029491	3.961569419	4484	3084	0.687778769
case_010	28	24	64.983177839	2.707632410	0	0	24	24	2.647562880	-2.647562880	480	479	0.997916667	24	13	0.541666667	479	120	0.250521921	479	7.459685266	6.537557527	4497	2879	0.640204581
case_011	22	24	56.492965375	2.353873557	0	0	24	24	2.311376339	-2.263444494	480	479	0.997916667	24	14	0.583333333	479	116	0.242171190	479	5.904187374	4.816891911	4473	2831	0.632908562
case_012	23	24	60.725144135	2.530214339	0	0	24	24	2.476627525	-2.476627525	480	480	1.000000000	24	10	0.416666667	480	139	0.289583333	480	6.728295082	6.117698139	4491	2860	0.636829214
case_013	24	24	53.356722845	2.223196785	0	0	24	24	2.117475858	-2.117475858	480	477	0.993750000	24	13	0.541666667	477	127	0.266247379	477	6.838602940	5.667098140	4432	2879	0.649593863
case_014	24	24	77.828132630	3.242838860	0	0	24	24	3.137533303	-3.137533303	480	479	0.997916667	24	8	0.333333333	479	101	0.210855950	479	5.316504005	4.119886531	4481	2968	0.662352154
case_015	23	24	36.508510887	1.521187954	0	0	24	24	1.472543471	-1.471968102	480	480	1.000000000	24	18	0.750000000	480	134	0.279166667	480	6.639797893	5.941723839	4486	2917	0.650245207
case_016	21	24	60.940870997	2.539202958	0	0	24	24	2.439843513	-2.439843513	480	480	1.000000000	24	12	0.500000000	480	135	0.281250000	480	6.880035569	6.168172538	4497	2894	0.643540138
case_017	29	24	53.605845215	2.233576884	0	0	24	24	2.185093238	-2.185093238	480	477	0.993750000	24	13	0.541666667	477	118	0.247379455	477	6.788187062	6.241645131	4437	2914	0.656750056
case_018	27	24	66.959485323	2.789978555	0	0	24	24	2.719573559	-2.719573559	480	479	0.997916667	24	12	0.500000000	479	122	0.254697286	479	5.387392346	4.399626976	4474	2781	0.621591417
case_019	20	26	61.387563044	2.361060117	1	1	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_020	20	24	29.222580043	1.217607502	1	11	24	24	1.091782310	-1.091782310	480	479	0.997916667	24	18	0.750000000	479	197	0.411273486	479	5.362863497	4.770260336	4468	2926	0.654879141
case_021	20	24	32.620811540	1.359200481	0	0	24	24	1.332759244	-1.278833114	480	480	1.000000000	24	17	0.708333333	480	197	0.410416667	480	6.133613324	5.606141917	4486	3015	0.672090950
case_022	18	24	28.287167986	1.178631999	0	0	24	24	1.094810386	-1.068622598	480	479	0.997916667	24	17	0.708333333	479	184	0.384133612	479	7.356396295	6.956967495	4489	3107	0.692136333
case_023	16	24	41.737059813	1.739044159	1	5	24	24	1.719087560	-1.719087560	480	475	0.989583333	24	13	0.541666667	475	157	0.330526316	475	7.759433391	7.326052918	4401	2737	0.621904113
case_024	17	24	53.482063250	2.228419302	1	9	24	24	2.050499639	-2.050499639	480	479	0.997916667	24	13	0.541666667	479	185	0.386221294	479	5.316071849	4.113561991	4459	2911	0.652836959
case_025	22	24	25.223137293	1.050964054	0	0	24	24	1.031390887	-1.007550969	480	478	0.995833333	24	15	0.625000000	478	192	0.401673640	478	7.739690494	7.603109438	4451	3149	0.707481465
case_026	18	24	48.376559236	2.015689968	1	4	24	24	1.901064754	-1.901064754	480	478	0.995833333	24	15	0.625000000	478	186	0.389121339	478	6.224882226	5.827312150	4470	2980	0.666666667
case_027	17	24	46.050615693	1.918775654	0	0	24	24	1.865697396	-1.838823094	480	477	0.993750000	24	11	0.458333333	477	177	0.371069182	477	7.484068398	6.918750175	4434	3005	0.677717636
case_028	19	24	27.134117597	1.130588233	1	4	24	24	1.006701332	-1.006083462	480	479	0.997916667	24	15	0.625000000	479	180	0.375782881	479	6.033889748	5.643026485	4475	3198	0.714636872
