id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	20	24	47.863325854	1.994305244	0	0	24	24	1.990333852	-1.990333852	480	480	1.000000000	24	11	0.458333333	480	154	0.320833333	480	7.351138376	6.300350158	4479	3054	0.681848627
case_001	20	24	27.823774895	1.159323954	1	10	24	24	1.057437911	-1.057437911	480	479	0.997916667	24	15	0.625000000	479	180	0.375782881	479	4.671310209	3.576462588	4480	3059	0.682812500
case_002	21	24	54.052296074	2.252179003	0	0	24	24	2.005920286	-2.005920286	480	478	0.995833333	24	11	0.458333333	478	181	0.378661088	478	3.958538153	1.936721228	4463	3004	0.673089850
case_003	21	24	25.560062637	1.065002610	0	0	24	24	1.038648144	-1.038648144	480	480	1.000000000	24	18	0.750000000	480	188	0.391666667	480	6.225373301	5.801666765	4501	3082	0.684736725
case_004	18	24	28.245400511	1.176891688	1	3	24	24	1.133452092	-1.133452080	480	478	0.995833333	24	14	0.583333333	478	181	0.378661088	478	6.291824480	5.782272144	4448	3002	0.674910072
case_005	16	24	45.679213480	1.903300562	0	0	24	24	1.799904164	-1.799904164	480	480	1.000000000	24	13	0.541666667	480	179	0.372916667	480	6.565023742	5.893094111	4491	3079	0.685593409
case_006	20	24	21.241595255	0.885066469	1	6	24	24	0.862586251	-0.862586251	480	479	0.997916667	24	17	0.708333333	479	164	0.342379958	479	7.813565301	7.527838447	4477	2982	0.666071030
case_007	17	24	35.805656508	1.491902355	1	7	24	24	1.369190934	-1.348186558	480	480	1.000000000	24	17	0.708333333	480	177	0.368750000	480	3.733691341	2.385680770	4480	3125	0.697544643
case_008	22	24	29.365872780	1.223578032	0	0	24	24	1.183458863	-1.173077387	480	478	0.995833333	24	17	0.708333333	478	205	0.428870293	478	5.401090045	4.552646051	4466	3125	0.699731303
case_009	17	24	28.838205891	1.201591912	1	3	24	24	0.986315197	-0.951918834	480	480	1.000000000	24	17	0.708333333	480	177	0.368750000	480	5.108643242	3.927979476	4484	3087	0.688447814
case_010	28	24	65.271156709	2.719631530	0	0	24	24	2.659562000	-2.659562000	480	479	0.997916667	24	11	0.458333333	479	104	0.217118998	479	7.428391953	6.593381528	4497	2890	0.642650656
case_011	22	24	54.663933374	2.277663891	0	0	24	24	2.250233937	-2.187234827	480	479	0.997916667	24	15	0.625000000	479	134	0.279749478	479	5.900838059	4.676453352	4473	2896	0.647440197
case_012	23	24	85.886931918	3.578622163	0	0	24	24	3.525035349	-3.525035349	480	480	1.000000000	24	11	0.458333333	480	117	0.243750000	480	6.705936997	5.774287186	4491	2834	0.631039857
case_013	24	24	45.489308256	1.895387844	0	0	24	24	1.789666916	-1.789666916	480	477	0.993750000	24	14	0.583333333	477	129	0.270440252	477	6.872354793	5.829131354	4432	2878	0.649368231
case_014	24	24	73.787393964	3.074474749	0	0	24	24	2.969169192	-2.969169192	480	479	0.997916667	24	7	0.291666667	479	97	0.202505219	479	4.881080249	3.518316566	4481	2922	0.652086588
case_015	23	24	32.334624517	1.347276022	0	0	24	24	1.312400673	-1.298056170	480	480	1.000000000	24	18	0.750000000	480	129	0.268750000	480	6.605753159	5.923295002	4486	2911	0.648907713
case_016	21	24	59.270838693	2.469618279	0	0	24	24	2.370258834	-2.370258834	480	480	1.000000000	24	12	0.500000000	480	137	0.285416667	480	6.831488059	6.153897087	4497	2903	0.645541472
case_017	29	24	59.085134290	2.461880595	0	0	24	24	2.413396950	-2.413396950	480	477	0.993750000	24	13	0.541666667	477	119	0.249475891	477	6.482050730	5.830584804	4437	2923	0.658778454
case_018	27	24	73.246911576	3.051954649	0	0	24	24	2.981549653	-2.981549653	480	479	0.997916667	24	11	0.458333333	479	125	0.260960334	479	5.527500022	4.557534332	4474	2783	0.622038444
case_019	20	26	64.029936430	2.462689863	0	0	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_020	20	24	28.779771663	1.199157153	0	0	24	24	1.093049229	-1.073331960	480	479	0.997916667	24	16	0.666666667	479	205	0.427974948	479	5.137789566	4.620120418	4468	2923	0.654207699
case_021	20	24	31.238883197	1.301620133	0	0	24	24	1.281836525	-1.221252767	480	480	1.000000000	24	18	0.750000000	480	206	0.429166667	480	5.741956446	5.091219313	4486	3020	0.673205528
case_022	18	24	23.735702201	0.988987592	0	0	24	24	0.878978190	-0.878978190	480	479	0.997916667	24	17	0.708333333	479	197	0.411273486	479	7.134875069	6.831659392	4489	3149	0.701492537
case_023	16	24	32.913072546	1.371378023	1	8	24	24	1.351421424	-1.351421424	480	475	0.989583333	24	14	0.583333333	475	163	0.343157895	475	8.072475756	7.652957359	4401	2774	0.630311293
case_024	17	24	52.978021488	2.207417562	1	9	24	24	2.029497899	-2.029497899	480	479	0.997916667	24	15	0.625000000	479	181	0.377870564	479	5.530749252	4.381056654	4459	2879	0.645660462
