ts=2026-07-27T11:47:05Z START target_file=/run/dsv4/llamacpp.engine.target threshold_gib=18
ts=2026-07-27T11:47:05Z ARMED target_pid=356140 target_pgid=356140 target_start_ticks=315716 target_role=provisional
ts=2026-07-27T11:47:05Z ARMED target_pid=356178 target_pgid=356140 target_start_ticks=315739 target_role=engine
ts=2026-07-27T11:47:07Z mem_available_gib=59.27
ts=2026-07-27T11:47:10Z mem_available_gib=23.18
ts=2026-07-27T11:47:12Z mem_available_gib=23.19
ts=2026-07-27T11:47:15Z mem_available_gib=23.21
ts=2026-07-27T11:47:17Z mem_available_gib=23.21
ts=2026-07-27T11:47:20Z mem_available_gib=23.22
ts=2026-07-27T11:47:22Z mem_available_gib=23.22
ts=2026-07-27T11:47:25Z mem_available_gib=23.22
ts=2026-07-27T11:47:27Z mem_available_gib=23.23
ts=2026-07-27T11:47:30Z mem_available_gib=23.24
ts=2026-07-27T11:47:33Z mem_available_gib=23.20
ts=2026-07-27T11:47:35Z mem_available_gib=23.21
ts=2026-07-27T11:47:38Z mem_available_gib=23.22
ts=2026-07-27T11:47:40Z mem_available_gib=23.23
ts=2026-07-27T11:47:43Z mem_available_gib=23.23
ts=2026-07-27T11:47:45Z mem_available_gib=23.25
ts=2026-07-27T11:47:48Z mem_available_gib=23.25
ts=2026-07-27T11:47:51Z mem_available_gib=23.25
ts=2026-07-27T11:47:53Z mem_available_gib=23.25
ts=2026-07-27T11:47:56Z mem_available_gib=23.24
ts=2026-07-27T11:47:58Z mem_available_gib=23.24
ts=2026-07-27T11:48:01Z mem_available_gib=23.23
ts=2026-07-27T11:48:03Z mem_available_gib=23.26
ts=2026-07-27T11:48:06Z mem_available_gib=23.26
ts=2026-07-27T11:48:09Z mem_available_gib=23.25
ts=2026-07-27T11:48:11Z mem_available_gib=23.26
ts=2026-07-27T11:48:14Z mem_available_gib=23.24
ts=2026-07-27T11:48:16Z mem_available_gib=23.25
ts=2026-07-27T11:48:19Z mem_available_gib=23.26
ts=2026-07-27T11:48:21Z mem_available_gib=23.25
ts=2026-07-27T11:48:24Z mem_available_gib=23.25
ts=2026-07-27T11:48:27Z mem_available_gib=23.24
ts=2026-07-27T11:48:29Z mem_available_gib=23.25
ts=2026-07-27T11:48:32Z mem_available_gib=23.22
ts=2026-07-27T11:48:34Z mem_available_gib=22.51
ts=2026-07-27T11:48:37Z mem_available_gib=22.51
ts=2026-07-27T11:48:39Z mem_available_gib=22.22
ts=2026-07-27T11:48:42Z mem_available_gib=22.12
ts=2026-07-27T11:48:45Z mem_available_gib=22.04
ts=2026-07-27T11:48:47Z mem_available_gib=22.04
ts=2026-07-27T11:48:50Z mem_available_gib=22.11
ts=2026-07-27T11:48:52Z mem_available_gib=22.11
ts=2026-07-27T11:48:55Z mem_available_gib=22.11
ts=2026-07-27T11:48:57Z FAIL_CLOSED reason=missing_invalid_or_unverifiable_armed_target target_pid=356178 target_pgid=356140 target_start_ticks=315739
