2026-07-27T07:21:27-04:00 mem_avail_kb=118092988 eng_rss_kb=568276 read_bytes=335814656
2026-07-27T07:21:27-04:00 mem_avail_kb=112365184 eng_rss_kb=569060 read_bytes=1011372032
2026-07-27T07:21:28-04:00 mem_avail_kb=111410616 eng_rss_kb=569524 read_bytes=1011372032
2026-07-27T07:21:28-04:00 mem_avail_kb=111411076 eng_rss_kb=569524 read_bytes=1011372032
2026-07-27T07:21:28-04:00 mem_avail_kb=111410824 eng_rss_kb=569524 read_bytes=1011372032
2026-07-27T07:21:28-04:00 mem_avail_kb=111410344 eng_rss_kb=569732 read_bytes=1011372032
2026-07-27T07:21:29-04:00 mem_avail_kb=111292360 eng_rss_kb=614764 read_bytes=1428332544
2026-07-27T07:21:29-04:00 mem_avail_kb=109080328 eng_rss_kb=877044 read_bytes=2562064384
2026-07-27T07:21:29-04:00 mem_avail_kb=120218784 eng_rss_kb= read_bytes=0
2026-07-27T07:21:30-04:00 mem_avail_kb=120641956 eng_rss_kb=0 read_bytes=0
2026-07-27T07:21:30-04:00 mem_avail_kb=120641712 eng_rss_kb=0 read_bytes=0
2026-07-27T07:21:30-04:00 mem_avail_kb=120641720 eng_rss_kb=0 read_bytes=0
2026-07-27T07:21:30-04:00 mem_avail_kb=120641048 eng_rss_kb=0 read_bytes=0
2026-07-27T07:21:31-04:00 mem_avail_kb=120639876 eng_rss_kb=0 read_bytes=0
2026-07-27T07:21:31-04:00 mem_avail_kb=120639876 eng_rss_kb=0 read_bytes=0
