id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate	target_top1_correct
case_053	24	24	14.596594111	0.608191421	1	2	24	24	0.491160001	-0.440934393	480	478	0.995833333	24	19	0.791666667	478	324	0.677824268	478	1.920945563	1.143759841	4464	3458	0.774641577	19
case_056	20	24	8.384989878	0.349374578	1	17	24	24	0.289327666	-0.277724421	480	479	0.997916667	24	22	0.916666667	479	323	0.674321503	479	2.451222852	1.790834525	4461	3420	0.766644250	22
case_058	26	24	4.775062745	0.198960948	1	14	24	24	0.181205085	-0.176952238	480	476	0.991666667	24	21	0.875000000	476	332	0.697478992	476	2.452882858	1.672011419	4421	3504	0.792580864	21
case_027	17	24	4.964034752	0.206834781	1	1	24	24	0.197141358	-0.126882222	480	477	0.993750000	24	21	0.875000000	477	312	0.654088050	477	2.794141317	1.626782088	4434	3431	0.773793415	21
case_065	16	24	3.291758370	0.137156599	1	14	24	24	0.133223837	-0.098039509	480	479	0.997916667	24	22	0.916666667	479	352	0.734864301	479	2.141428019	1.242382930	4473	3590	0.802593338	22
case_032	19	24	4.602245675	0.191760236	1	10	24	24	0.193549887	-0.170555143	480	479	0.997916667	24	23	0.958333333	479	361	0.753653445	479	2.192516066	1.809176976	4491	3634	0.809173903	23
case_079	21	24	11.927888596	0.496995358	1	10	24	24	0.437036893	-0.436483056	480	478	0.995833333	24	20	0.833333333	478	305	0.638075314	478	2.151895513	1.455975968	4458	3537	0.793405114	20
case_001	20	24	9.867728036	0.411155335	1	14	24	24	0.309313560	-0.309269291	480	479	0.997916667	24	20	0.833333333	479	338	0.705636743	479	1.929102950	1.004762360	4480	3475	0.775669643	20
case_031	24	24	5.719326944	0.238305289	1	3	24	24	0.191547360	-0.170290699	480	479	0.997916667	24	22	0.916666667	479	309	0.645093946	479	1.979360709	1.031114280	4479	3509	0.783433802	22
case_076	23	24	8.097576608	0.337399025	1	16	24	24	0.261499672	-0.259386481	480	478	0.995833333	24	22	0.916666667	478	324	0.677824268	478	2.267179349	1.596181346	4475	3435	0.767597765	22
case_000	20	24	20.036150832	0.834839618	1	10	24	24	0.833155050	-0.830868226	480	480	1.000000000	24	19	0.791666667	480	308	0.641666667	480	3.119155127	2.428067991	4479	3473	0.775396294	19
case_036	22	24	9.210675902	0.383778163	1	5	24	24	0.367308173	-0.367307229	480	480	1.000000000	24	22	0.916666667	480	324	0.675000000	480	2.607390674	2.151391021	4493	3475	0.773425328	22
case_020	20	24	9.405789902	0.391907913	1	6	24	24	0.314518950	-0.266082720	480	479	0.997916667	24	21	0.875000000	479	362	0.755741127	479	1.822252154	1.189864630	4468	3577	0.800581916	21
case_045	21	24	11.505465646	0.479394402	1	1	24	24	0.382138916	-0.321837592	480	479	0.997916667	24	20	0.833333333	479	324	0.676409186	479	2.145266345	0.872064177	4473	3438	0.768611670	20
case_016	21	24	9.649290415	0.402053767	0	0	24	24	0.318234967	-0.302694323	480	480	1.000000000	24	20	0.833333333	480	343	0.714583333	480	2.138432039	1.407165130	4497	3392	0.754280632	20
case_004	18	24	10.400796781	0.433366533	1	3	24	24	0.391236861	-0.389926925	480	478	0.995833333	24	19	0.791666667	478	365	0.763598326	478	1.753249372	0.794232382	4448	3556	0.799460432	19
case_071	26	24	6.335031764	0.263959657	0	0	24	24	0.261873293	-0.177072443	480	479	0.997916667	24	21	0.875000000	479	313	0.653444676	479	2.294899360	0.861657162	4480	3486	0.778125000	21
case_073	17	24	0.319248590	0.013302025	1	24	24	24	0.049663930	0.044159987	480	479	0.997916667	24	24	1.000000000	479	329	0.686847599	479	2.112939868	1.326529931	4470	3518	0.787024609	24
case_095	19	11	0.444872720	0.040442975	1	11	11	11	0.038763270	-0.011954414	220	215	0.977272727	11	11	1.000000000	215	153	0.711627907	215	1.694502129	0.357289375	1953	1522	0.779313876	11
case_099	24	15	2.803720076	0.186914672	1	10	15	15	0.183623919	-0.181213515	300	297	0.990000000	15	14	0.933333333	297	214	0.720538721	297	2.191059247	1.674257229	2755	2221	0.806170599	14
