id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate	target_top1_correct
case_048	20	24	6.120320924	0.255013372	1	15	24	24	0.219271556	-0.194348066	480	478	0.995833333	24	23	0.958333333	478	358	0.748953975	478	2.134936178	1.095971493	4474	3562	0.796155565	23
case_091	16	24	25.061322490	1.044221770	1	1	24	24	1.011352585	-0.968781702	480	479	0.997916667	24	17	0.708333333	479	282	0.588726514	479	2.641113290	1.440014793	4485	3395	0.756967670	17
case_092	17	24	5.043526728	0.210146947	1	6	24	24	0.199418261	-0.168090409	480	480	1.000000000	24	22	0.916666667	480	358	0.745833333	480	2.560809205	2.337482447	4483	3558	0.793664957	22
case_067	18	24	6.363805307	0.265158554	1	4	24	24	0.229696736	-0.151662723	480	480	1.000000000	24	21	0.875000000	480	330	0.687500000	480	2.335127543	1.543479777	4492	3419	0.761130899	21
case_085	20	24	7.722903522	0.321787647	0	0	24	24	0.257728141	-0.190249652	480	480	1.000000000	24	20	0.833333333	480	346	0.720833333	480	1.793250237	0.615871192	4498	3581	0.796131614	20
case_028	19	24	13.536346611	0.564014442	1	4	24	24	0.541874338	-0.439509671	480	479	0.997916667	24	20	0.833333333	479	318	0.663883090	479	1.839088492	1.016704315	4475	3553	0.793966480	20
case_040	23	24	19.975729656	0.832322069	0	0	24	24	0.727139134	-0.699177996	480	479	0.997916667	24	19	0.791666667	479	330	0.688935282	479	1.896733038	0.769686695	4477	3520	0.786240786	19
case_055	28	24	18.053055478	0.752210645	0	0	24	24	0.741326201	-0.715127741	480	478	0.995833333	24	18	0.750000000	478	318	0.665271967	478	2.969738355	2.396740401	4465	3366	0.753863382	18
case_005	16	24	24.211429299	1.008809554	1	8	24	24	0.971423441	-0.905413157	480	480	1.000000000	24	19	0.791666667	480	319	0.664583333	480	2.597477289	1.242126426	4491	3503	0.780004453	19
case_051	23	24	11.601476975	0.483394874	1	1	24	24	0.455359561	-0.418574459	480	480	1.000000000	24	21	0.875000000	480	317	0.660416667	480	2.168387431	0.984079014	4496	3427	0.762233096	21
case_081	15	24	21.109073639	0.879544735	1	7	24	24	0.668978956	-0.655452240	480	480	1.000000000	24	17	0.708333333	480	346	0.720833333	480	2.000501417	1.068105383	4495	3480	0.774193548	17
case_070	27	24	9.897507139	0.412396131	1	5	24	24	0.385943541	-0.341032211	480	480	1.000000000	24	21	0.875000000	480	335	0.697916667	480	1.858845526	0.981720306	4494	3612	0.803738318	21
case_096	17	6	0.046893325	0.007815554	1	6	6	6	0.032868964	0.027394046	120	116	0.966666667	6	6	1.000000000	116	77	0.663793103	116	2.956119529	2.578933629	1056	831	0.786931818	6
case_090	19	24	9.300646367	0.387526932	1	8	24	24	0.366791245	-0.342848402	480	480	1.000000000	24	23	0.958333333	480	343	0.714583333	480	2.208653017	1.324908842	4488	3576	0.796791444	23
case_086	18	24	21.575473080	0.898978045	1	6	24	24	0.777769911	-0.774762239	480	480	1.000000000	24	18	0.750000000	480	307	0.639583333	480	2.375438892	1.247398667	4500	3519	0.782000000	18
case_013	24	24	11.394488983	0.474770374	0	0	24	24	0.369114409	-0.369049447	480	477	0.993750000	24	20	0.833333333	477	287	0.601677149	477	2.679924147	1.836023773	4432	3341	0.753835740	20
case_033	17	24	5.092998488	0.212208270	1	1	24	24	0.182002751	-0.115342854	480	477	0.993750000	24	22	0.916666667	477	334	0.700209644	477	2.540495905	1.836761113	4442	3527	0.794011706	22
case_029	20	24	12.721981105	0.530082546	1	12	24	24	0.335394335	-0.278566921	480	480	1.000000000	24	20	0.833333333	480	329	0.685416667	480	1.761968271	-0.307587242	4495	3388	0.753726363	20
case_025	22	24	16.535255189	0.688968966	1	13	24	24	0.694262980	-0.645555881	480	478	0.995833333	24	22	0.916666667	478	325	0.679916318	478	2.875804973	1.657721197	4451	3512	0.789036172	22
case_062	16	24	13.596405710	0.566516905	0	0	24	24	0.547917957	-0.545910292	480	478	0.995833333	24	22	0.916666667	478	350	0.732217573	478	2.629230804	1.586181282	4457	3522	0.790217635	22
