# id	prompt_file	continuation_file	response_file
case_094	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_094.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_094.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_094.json
case_023	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_023.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_023.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_023.json
case_002	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_002.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_002.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_002.json
case_042	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_042.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_042.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_042.json
case_034	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_034.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_034.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_034.json
case_074	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_074.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_074.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_074.json
case_019	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_019.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_019.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_019.json
case_063	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_063.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_063.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_063.json
case_057	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_057.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_057.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_057.json
case_072	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_072.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_072.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_072.json
case_012	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_012.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_012.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_012.json
case_068	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_068.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_068.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_068.json
case_075	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_075.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_075.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_075.json
case_008	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_008.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_008.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_008.json
case_043	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_043.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_043.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_043.json
case_014	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_014.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_014.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_014.json
case_093	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_093.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_093.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_093.json
case_044	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_044.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_044.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_044.json
case_026	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_026.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_026.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_026.json
case_007	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_007.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_007.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_007.json
