t=     0s {'MemAvailable': 16.49, 'MemFree': 7.64, 'Cached': 8.38, 'Shmem': 0.05, 'AnonPages': 4.96, 'Mapped': 1.03} top=[(3.4, 'VLLM::EngineCor'), (1.72, 'python3'), (0.52, 'claude'), (0.25, 'codex')] gpu=[N/A], 0 %
t=     5s {'MemAvailable': 15.71, 'MemFree': 6.85, 'Cached': 8.38, 'Shmem': 0.05, 'AnonPages': 5.13, 'Mapped': 1.03} top=[(3.43, 'VLLM::EngineCor'), (1.84, 'python3'), (0.52, 'claude'), (0.25, 'codex')] gpu=[N/A], 95 %
t=    10s {'MemAvailable': 15.48, 'MemFree': 6.62, 'Cached': 8.38, 'Shmem': 0.05, 'AnonPages': 5.13, 'Mapped': 1.03} top=[(3.43, 'VLLM::EngineCor'), (1.84, 'python3'), (0.52, 'claude'), (0.25, 'codex')] gpu=[N/A], 96 %
t=    15s {'MemAvailable': 15.25, 'MemFree': 6.39, 'Cached': 8.38, 'Shmem': 0.05, 'AnonPages': 5.12, 'Mapped': 1.03} top=[(3.43, 'VLLM::EngineCor'), (1.84, 'python3'), (0.51, 'claude'), (0.25, 'codex')] gpu=[N/A], 95 %
t=    20s {'MemAvailable': 14.77, 'MemFree': 5.91, 'Cached': 8.38, 'Shmem': 0.05, 'AnonPages': 5.12, 'Mapped': 1.03} top=[(3.43, 'VLLM::EngineCor'), (1.84, 'python3'), (0.51, 'claude'), (0.25, 'codex')] gpu=[N/A], 95 %
t=    25s {'MemAvailable': 14.53, 'MemFree': 5.67, 'Cached': 8.38, 'Shmem': 0.05, 'AnonPages': 5.12, 'Mapped': 1.03} top=[(3.43, 'VLLM::EngineCor'), (1.84, 'python3'), (0.51, 'claude'), (0.25, 'codex')] gpu=[N/A], 89 %
t=    30s {'MemAvailable': 14.54, 'MemFree': 5.68, 'Cached': 8.38, 'Shmem': 0.05, 'AnonPages': 5.12, 'Mapped': 1.03} top=[(3.43, 'VLLM::EngineCor'), (1.84, 'python3'), (0.51, 'claude'), (0.25, 'codex')] gpu=[N/A], 96 %
t=    35s {'MemAvailable': 14.54, 'MemFree': 5.67, 'Cached': 8.38, 'Shmem': 0.05, 'AnonPages': 5.12, 'Mapped': 1.03} top=[(3.43, 'VLLM::EngineCor'), (1.84, 'python3'), (0.51, 'claude'), (0.25, 'codex')] gpu=[N/A], 96 %
t=    40s {'MemAvailable': 14.54, 'MemFree': 5.68, 'Cached': 8.38, 'Shmem': 0.05, 'AnonPages': 5.11, 'Mapped': 1.03} top=[(3.43, 'VLLM::EngineCor'), (1.84, 'python3'), (0.51, 'claude'), (0.25, 'codex')] gpu=[N/A], 95 %
t=    45s {'MemAvailable': 14.54, 'MemFree': 5.68, 'Cached': 8.38, 'Shmem': 0.05, 'AnonPages': 5.11, 'Mapped': 1.03} top=[(3.43, 'VLLM::EngineCor'), (1.84, 'python3'), (0.51, 'claude'), (0.25, 'codex')] gpu=[N/A], 96 %
t=    51s {'MemAvailable': 14.54, 'MemFree': 5.68, 'Cached': 8.38, 'Shmem': 0.05, 'AnonPages': 5.11, 'Mapped': 1.03} top=[(3.43, 'VLLM::EngineCor'), (1.84, 'python3'), (0.51, 'claude'), (0.25, 'codex')] gpu=[N/A], 95 %
t=    56s {'MemAvailable': 14.53, 'MemFree': 5.67, 'Cached': 8.38, 'Shmem': 0.05, 'AnonPages': 5.11, 'Mapped': 1.03} top=[(3.43, 'VLLM::EngineCor'), (1.84, 'python3'), (0.51, 'claude'), (0.25, 'codex')] gpu=[N/A], 96 %
t=    61s {'MemAvailable': 14.53, 'MemFree': 5.67, 'Cached': 8.38, 'Shmem': 0.05, 'AnonPages': 5.11, 'Mapped': 1.03} top=[(3.43, 'VLLM::EngineCor'), (1.84, 'python3'), (0.51, 'claude'), (0.25, 'codex')] gpu=[N/A], 96 %
t=    66s {'MemAvailable': 14.53, 'MemFree': 5.67, 'Cached': 8.38, 'Shmem': 0.05, 'AnonPages': 5.11, 'Mapped': 1.03} top=[(3.43, 'VLLM::EngineCor'), (1.84, 'python3'), (0.51, 'claude'), (0.25, 'codex')] gpu=[N/A], 96 %
