t=     0s {'MemAvailable': 16.64, 'MemFree': 8.18, 'Cached': 7.79, 'Shmem': 0.05, 'AnonPages': 4.88, 'Mapped': 1.01} top=[(3.4, 'VLLM::EngineCor'), (1.59, 'python3'), (0.55, 'claude'), (0.26, 'codex')] gpu=[N/A], 0 %
t=     5s {'MemAvailable': 15.71, 'MemFree': 7.25, 'Cached': 7.8, 'Shmem': 0.05, 'AnonPages': 5.1, 'Mapped': 1.01} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.53, 'claude'), (0.26, 'codex')] gpu=[N/A], 96 %
t=    10s {'MemAvailable': 15.77, 'MemFree': 7.31, 'Cached': 7.8, 'Shmem': 0.05, 'AnonPages': 5.1, 'Mapped': 1.01} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.53, 'claude'), (0.26, 'codex')] gpu=[N/A], 96 %
t=    15s {'MemAvailable': 15.83, 'MemFree': 7.37, 'Cached': 7.8, 'Shmem': 0.05, 'AnonPages': 5.1, 'Mapped': 1.01} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.53, 'claude'), (0.26, 'codex')] gpu=[N/A], 96 %
t=    20s {'MemAvailable': 15.87, 'MemFree': 7.41, 'Cached': 7.8, 'Shmem': 0.05, 'AnonPages': 5.1, 'Mapped': 1.01} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.53, 'claude'), (0.26, 'codex')] gpu=[N/A], 96 %
t=    25s {'MemAvailable': 15.9, 'MemFree': 7.44, 'Cached': 7.8, 'Shmem': 0.05, 'AnonPages': 5.09, 'Mapped': 1.01} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.53, 'claude'), (0.26, 'codex')] gpu=[N/A], 96 %
t=    30s {'MemAvailable': 15.92, 'MemFree': 7.46, 'Cached': 7.8, 'Shmem': 0.05, 'AnonPages': 5.09, 'Mapped': 1.01} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.53, 'claude'), (0.26, 'codex')] gpu=[N/A], 95 %
t=    35s {'MemAvailable': 15.93, 'MemFree': 7.47, 'Cached': 7.8, 'Shmem': 0.05, 'AnonPages': 5.09, 'Mapped': 1.01} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.53, 'claude'), (0.26, 'codex')] gpu=[N/A], 96 %
t=    40s {'MemAvailable': 15.94, 'MemFree': 7.48, 'Cached': 7.8, 'Shmem': 0.05, 'AnonPages': 5.09, 'Mapped': 1.01} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.53, 'claude'), (0.26, 'codex')] gpu=[N/A], 96 %
t=    45s {'MemAvailable': 15.94, 'MemFree': 7.48, 'Cached': 7.8, 'Shmem': 0.05, 'AnonPages': 5.09, 'Mapped': 1.01} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.53, 'claude'), (0.26, 'codex')] gpu=[N/A], 95 %
t=    51s {'MemAvailable': 15.94, 'MemFree': 7.48, 'Cached': 7.8, 'Shmem': 0.05, 'AnonPages': 5.09, 'Mapped': 1.01} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.53, 'claude'), (0.26, 'codex')] gpu=[N/A], 96 %
t=    56s {'MemAvailable': 15.94, 'MemFree': 7.48, 'Cached': 7.8, 'Shmem': 0.05, 'AnonPages': 5.09, 'Mapped': 1.01} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.53, 'claude'), (0.26, 'codex')] gpu=[N/A], 96 %
t=    61s {'MemAvailable': 15.95, 'MemFree': 7.49, 'Cached': 7.8, 'Shmem': 0.05, 'AnonPages': 5.09, 'Mapped': 1.01} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.53, 'claude'), (0.26, 'codex')] gpu=[N/A], 96 %
t=    66s {'MemAvailable': 15.95, 'MemFree': 7.49, 'Cached': 7.8, 'Shmem': 0.05, 'AnonPages': 5.09, 'Mapped': 1.01} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.53, 'claude'), (0.26, 'codex')] gpu=[N/A], 96 %
t=    71s {'MemAvailable': 15.96, 'MemFree': 7.53, 'Cached': 7.77, 'Shmem': 0.05, 'AnonPages': 5.07, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.48, 'claude'), (0.26, 'codex')] gpu=[N/A], 95 %
t=    76s {'MemAvailable': 15.97, 'MemFree': 7.53, 'Cached': 7.77, 'Shmem': 0.05, 'AnonPages': 5.07, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.48, 'claude'), (0.26, 'codex')] gpu=[N/A], 96 %
t=    81s {'MemAvailable': 15.96, 'MemFree': 7.53, 'Cached': 7.77, 'Shmem': 0.05, 'AnonPages': 5.07, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.48, 'claude'), (0.26, 'codex')] gpu=[N/A], 96 %
t=    86s {'MemAvailable': 15.96, 'MemFree': 7.52, 'Cached': 7.77, 'Shmem': 0.05, 'AnonPages': 5.07, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.49, 'claude'), (0.26, 'codex')] gpu=[N/A], 96 %
t=    91s {'MemAvailable': 15.96, 'MemFree': 7.52, 'Cached': 7.77, 'Shmem': 0.05, 'AnonPages': 5.07, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.49, 'claude'), (0.26, 'codex')] gpu=[N/A], 96 %
t=    96s {'MemAvailable': 15.96, 'MemFree': 7.52, 'Cached': 7.77, 'Shmem': 0.05, 'AnonPages': 5.07, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.48, 'claude'), (0.26, 'codex')] gpu=[N/A], 95 %
t=   101s {'MemAvailable': 15.96, 'MemFree': 7.52, 'Cached': 7.77, 'Shmem': 0.05, 'AnonPages': 5.07, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.49, 'claude'), (0.26, 'codex')] gpu=[N/A], 96 %
t=   106s {'MemAvailable': 15.97, 'MemFree': 7.53, 'Cached': 7.77, 'Shmem': 0.05, 'AnonPages': 5.07, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.49, 'claude'), (0.26, 'codex')] gpu=[N/A], 96 %
t=   111s {'MemAvailable': 15.97, 'MemFree': 7.54, 'Cached': 7.77, 'Shmem': 0.05, 'AnonPages': 5.07, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.49, 'claude'), (0.26, 'codex')] gpu=[N/A], 95 %
t=   116s {'MemAvailable': 15.97, 'MemFree': 7.53, 'Cached': 7.77, 'Shmem': 0.05, 'AnonPages': 5.07, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.49, 'claude'), (0.26, 'codex')] gpu=[N/A], 96 %
t=   121s {'MemAvailable': 15.96, 'MemFree': 7.53, 'Cached': 7.77, 'Shmem': 0.05, 'AnonPages': 5.07, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.49, 'claude'), (0.26, 'codex')] gpu=[N/A], 96 %
t=   126s {'MemAvailable': 15.97, 'MemFree': 7.53, 'Cached': 7.77, 'Shmem': 0.05, 'AnonPages': 5.07, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.49, 'claude'), (0.26, 'codex')] gpu=[N/A], 96 %
t=   131s {'MemAvailable': 15.97, 'MemFree': 7.53, 'Cached': 7.77, 'Shmem': 0.05, 'AnonPages': 5.07, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.49, 'claude'), (0.26, 'codex')] gpu=[N/A], 96 %
t=   137s {'MemAvailable': 15.97, 'MemFree': 7.53, 'Cached': 7.77, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.26, 'codex')] gpu=[N/A], 95 %
t=   142s {'MemAvailable': 15.98, 'MemFree': 7.54, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.26, 'codex')] gpu=[N/A], 96 %
t=   147s {'MemAvailable': 15.98, 'MemFree': 7.54, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.26, 'codex')] gpu=[N/A], 96 %
t=   152s {'MemAvailable': 15.98, 'MemFree': 7.54, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.26, 'codex')] gpu=[N/A], 95 %
t=   157s {'MemAvailable': 15.98, 'MemFree': 7.54, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.26, 'codex')] gpu=[N/A], 96 %
t=   162s {'MemAvailable': 15.98, 'MemFree': 7.54, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.26, 'codex')] gpu=[N/A], 95 %
t=   167s {'MemAvailable': 15.98, 'MemFree': 7.54, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.26, 'codex')] gpu=[N/A], 95 %
t=   172s {'MemAvailable': 15.98, 'MemFree': 7.54, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.26, 'codex')] gpu=[N/A], 96 %
t=   177s {'MemAvailable': 15.98, 'MemFree': 7.54, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.26, 'codex')] gpu=[N/A], 95 %
t=   182s {'MemAvailable': 15.98, 'MemFree': 7.53, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.26, 'codex')] gpu=[N/A], 96 %
t=   187s {'MemAvailable': 15.98, 'MemFree': 7.54, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.26, 'codex')] gpu=[N/A], 96 %
t=   192s {'MemAvailable': 15.99, 'MemFree': 7.55, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.26, 'codex')] gpu=[N/A], 95 %
t=   197s {'MemAvailable': 15.99, 'MemFree': 7.55, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.26, 'codex')] gpu=[N/A], 96 %
t=   202s {'MemAvailable': 15.99, 'MemFree': 7.55, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.26, 'codex')] gpu=[N/A], 96 %
t=   207s {'MemAvailable': 15.99, 'MemFree': 7.55, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 95 %
t=   212s {'MemAvailable': 15.99, 'MemFree': 7.55, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 96 %
