t=     0s avail= 16.97GiB rss=[('3369646', 1.6, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.38, 'VLLM::EngineCore')]
t=     5s avail= 16.33GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=    10s avail= 16.36GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=    15s avail= 16.39GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=    20s avail= 16.41GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=    25s avail= 16.42GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=    30s avail= 16.42GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=    35s avail= 16.42GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=    40s avail= 16.42GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=    45s avail= 16.43GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=    50s avail= 16.43GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=    55s avail= 16.43GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=    60s avail= 16.43GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=    65s avail= 16.43GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=    70s avail= 16.42GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=    75s avail= 16.42GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=    80s avail= 16.42GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=    85s avail= 16.44GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=    90s avail= 16.44GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=    95s avail= 16.44GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   100s avail= 16.44GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   105s avail= 16.44GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   110s avail= 16.44GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   115s avail= 16.44GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   120s avail= 16.44GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   125s avail= 16.44GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   130s avail= 16.44GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   135s avail= 16.43GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   140s avail= 16.42GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   145s avail= 16.42GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   150s avail= 16.43GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   156s avail= 16.43GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   161s avail= 16.43GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   166s avail= 16.43GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   171s avail= 16.43GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   176s avail= 16.43GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   181s avail= 16.43GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   186s avail= 16.43GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   191s avail= 16.43GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   196s avail= 16.43GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   201s avail= 16.43GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   206s avail= 16.43GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   211s avail= 16.43GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   216s avail= 16.45GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   221s avail= 16.45GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   226s avail= 16.45GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   231s avail= 16.45GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   236s avail= 16.45GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   241s avail= 16.46GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   246s avail= 16.46GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   251s avail= 16.46GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   256s avail= 16.46GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   261s avail= 16.46GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   266s avail= 16.46GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   271s avail= 16.46GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   276s avail= 16.46GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   281s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   286s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   291s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   296s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   301s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   306s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   311s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   316s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   321s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   326s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   331s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   336s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   341s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   346s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   351s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   356s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   361s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   366s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   371s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   376s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   381s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   386s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   391s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   396s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   401s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   406s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   411s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   416s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   421s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   426s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   431s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   436s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   441s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   446s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   452s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   457s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   462s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   467s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   472s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   477s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   482s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   487s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   492s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   497s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   502s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   507s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   512s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   517s avail= 16.46GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   522s avail= 16.46GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   527s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   532s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   537s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   542s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   547s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   552s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   557s avail= 16.47GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.39, 'VLLM::EngineCore')]
t=   562s avail= 16.19GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.4, 'VLLM::EngineCore')]
t=   567s avail= 16.21GiB rss=[('3369646', 1.74, '/home/bmarti44/.cache/glm53-flash/native'), ('3369830', 3.4, 'VLLM::EngineCore')]
usage {'prompt_tokens': 250128, 'total_tokens': 250176, 'completion_tokens': 48, 'completion_tokens_details': {'reasoning_tokens': 48}}
done wall=568.0s ttft=None text=''
