ts=2026-09-11T05:47:10Z START target_file=/home/bmarti44/.frontier-at-home/run/glm-5.3-flash-cuda-spark-128g-1m.memwatch.target threshold_gib=10
ts=2026-09-11T05:47:11Z ARMED target_pid=3421806 target_pgid=3421806 target_start_ticks=45843191 target_role=engine
ts=2026-09-11T05:47:19Z mem_available_gib=113.60
ts=2026-09-11T05:47:29Z mem_available_gib=70.38
ts=2026-09-11T05:47:40Z mem_available_gib=28.06
ts=2026-09-11T05:47:50Z mem_available_gib=23.90
ts=2026-09-11T05:48:00Z mem_available_gib=16.77
ts=2026-09-11T05:48:10Z mem_available_gib=15.89
ts=2026-09-11T05:48:20Z mem_available_gib=15.96
ts=2026-09-11T05:48:30Z mem_available_gib=16.00
ts=2026-09-11T05:48:40Z mem_available_gib=15.89
ts=2026-09-11T05:48:50Z mem_available_gib=15.86
ts=2026-09-11T05:49:00Z mem_available_gib=15.62
ts=2026-09-11T05:49:10Z mem_available_gib=15.64
ts=2026-09-11T05:49:20Z mem_available_gib=15.69
ts=2026-09-11T05:49:30Z mem_available_gib=15.71
ts=2026-09-11T05:49:40Z mem_available_gib=15.72
ts=2026-09-11T05:49:51Z mem_available_gib=15.72
ts=2026-09-11T05:50:01Z mem_available_gib=15.72
ts=2026-09-11T05:50:11Z mem_available_gib=15.72
ts=2026-09-11T05:50:21Z mem_available_gib=15.72
ts=2026-09-11T05:50:31Z mem_available_gib=15.72
ts=2026-09-11T05:50:41Z mem_available_gib=15.72
ts=2026-09-11T05:50:51Z mem_available_gib=15.72
ts=2026-09-11T05:51:01Z mem_available_gib=15.72
ts=2026-09-11T05:51:11Z mem_available_gib=15.72
ts=2026-09-11T05:51:21Z mem_available_gib=15.72
ts=2026-09-11T05:51:31Z mem_available_gib=15.72
ts=2026-09-11T05:51:41Z mem_available_gib=15.73
ts=2026-09-11T05:51:52Z mem_available_gib=15.73
ts=2026-09-11T05:52:02Z mem_available_gib=15.73
ts=2026-09-11T05:52:12Z mem_available_gib=15.73
ts=2026-09-11T05:52:22Z mem_available_gib=15.72
ts=2026-09-11T05:52:32Z mem_available_gib=15.72
ts=2026-09-11T05:52:42Z mem_available_gib=15.72
ts=2026-09-11T05:52:52Z mem_available_gib=15.72
ts=2026-09-11T05:53:02Z mem_available_gib=15.72
ts=2026-09-11T05:53:12Z mem_available_gib=15.72
ts=2026-09-11T05:53:22Z mem_available_gib=15.72
ts=2026-09-11T05:53:32Z mem_available_gib=15.72
ts=2026-09-11T05:53:42Z mem_available_gib=15.72
ts=2026-09-11T05:53:53Z mem_available_gib=15.72
ts=2026-09-11T05:54:03Z mem_available_gib=15.72
ts=2026-09-11T05:54:13Z mem_available_gib=15.72
ts=2026-09-11T05:54:23Z mem_available_gib=15.72
ts=2026-09-11T05:54:33Z mem_available_gib=15.72
ts=2026-09-11T05:54:43Z mem_available_gib=15.72
ts=2026-09-11T05:54:53Z mem_available_gib=15.72
ts=2026-09-11T05:55:03Z mem_available_gib=15.73
ts=2026-09-11T05:55:13Z mem_available_gib=15.73
ts=2026-09-11T05:55:23Z mem_available_gib=15.72
ts=2026-09-11T05:55:33Z mem_available_gib=15.72
ts=2026-09-11T05:55:44Z mem_available_gib=15.72
ts=2026-09-11T05:55:54Z mem_available_gib=15.73
ts=2026-09-11T05:56:04Z mem_available_gib=15.72
ts=2026-09-11T05:56:14Z mem_available_gib=15.72
ts=2026-09-11T05:56:24Z mem_available_gib=15.73
ts=2026-09-11T05:56:34Z mem_available_gib=15.72
ts=2026-09-11T05:56:44Z mem_available_gib=15.73
ts=2026-09-11T05:56:54Z mem_available_gib=15.73
ts=2026-09-11T05:57:04Z mem_available_gib=15.73
ts=2026-09-11T05:57:14Z mem_available_gib=15.71
ts=2026-09-11T05:57:24Z mem_available_gib=15.71
ts=2026-09-11T05:57:34Z mem_available_gib=15.70
ts=2026-09-11T05:57:45Z mem_available_gib=15.70
ts=2026-09-11T05:57:55Z mem_available_gib=15.70
ts=2026-09-11T05:58:05Z mem_available_gib=15.71
ts=2026-09-11T05:58:15Z mem_available_gib=15.68
ts=2026-09-11T05:58:25Z mem_available_gib=15.68
ts=2026-09-11T05:58:35Z mem_available_gib=15.69
ts=2026-09-11T05:58:45Z mem_available_gib=15.67
ts=2026-09-11T05:58:55Z mem_available_gib=15.67
ts=2026-09-11T05:59:05Z mem_available_gib=15.67
ts=2026-09-11T05:59:15Z mem_available_gib=15.67
ts=2026-09-11T05:59:25Z mem_available_gib=15.65
ts=2026-09-11T05:59:36Z mem_available_gib=15.65
ts=2026-09-11T05:59:46Z mem_available_gib=15.65
ts=2026-09-11T05:59:56Z mem_available_gib=15.65
ts=2026-09-11T06:00:06Z mem_available_gib=15.63
ts=2026-09-11T06:00:16Z mem_available_gib=15.63
ts=2026-09-11T06:00:26Z mem_available_gib=15.63
ts=2026-09-11T06:00:36Z mem_available_gib=15.63
ts=2026-09-11T06:00:46Z mem_available_gib=15.61
ts=2026-09-11T06:00:56Z mem_available_gib=15.61
ts=2026-09-11T06:01:06Z mem_available_gib=15.61
ts=2026-09-11T06:01:16Z mem_available_gib=15.59
ts=2026-09-11T06:01:26Z mem_available_gib=15.59
ts=2026-09-11T06:01:37Z mem_available_gib=15.59
ts=2026-09-11T06:01:47Z mem_available_gib=15.59
ts=2026-09-11T06:01:57Z mem_available_gib=15.57
ts=2026-09-11T06:02:07Z mem_available_gib=15.57
ts=2026-09-11T06:02:17Z mem_available_gib=15.57
ts=2026-09-11T06:02:27Z mem_available_gib=15.57
ts=2026-09-11T06:02:37Z mem_available_gib=15.55
ts=2026-09-11T06:02:47Z mem_available_gib=15.55
ts=2026-09-11T06:02:57Z mem_available_gib=15.55
ts=2026-09-11T06:03:07Z mem_available_gib=15.55
ts=2026-09-11T06:03:17Z mem_available_gib=15.53
ts=2026-09-11T06:03:28Z mem_available_gib=15.52
ts=2026-09-11T06:03:38Z mem_available_gib=15.52
ts=2026-09-11T06:03:48Z mem_available_gib=15.52
ts=2026-09-11T06:03:58Z mem_available_gib=15.50
ts=2026-09-11T06:04:08Z mem_available_gib=15.50
ts=2026-09-11T06:04:18Z mem_available_gib=15.50
ts=2026-09-11T06:04:28Z mem_available_gib=15.49
ts=2026-09-11T06:04:38Z mem_available_gib=15.49
ts=2026-09-11T06:04:48Z mem_available_gib=15.49
ts=2026-09-11T06:04:58Z mem_available_gib=15.49
ts=2026-09-11T06:05:08Z mem_available_gib=15.49
ts=2026-09-11T06:05:19Z mem_available_gib=15.49
ts=2026-09-11T06:05:29Z mem_available_gib=15.49
ts=2026-09-11T06:05:39Z mem_available_gib=15.49
ts=2026-09-11T06:05:49Z mem_available_gib=15.49
ts=2026-09-11T06:05:59Z mem_available_gib=15.48
ts=2026-09-11T06:06:09Z mem_available_gib=15.48
ts=2026-09-11T06:06:19Z mem_available_gib=15.48
ts=2026-09-11T06:06:29Z mem_available_gib=15.48
ts=2026-09-11T06:06:39Z mem_available_gib=15.48
ts=2026-09-11T06:06:49Z mem_available_gib=15.48
ts=2026-09-11T06:06:59Z mem_available_gib=15.48
ts=2026-09-11T06:07:09Z mem_available_gib=15.48
ts=2026-09-11T06:07:20Z mem_available_gib=15.46
ts=2026-09-11T06:07:30Z mem_available_gib=15.47
ts=2026-09-11T06:07:40Z mem_available_gib=15.47
ts=2026-09-11T06:07:50Z mem_available_gib=15.47
ts=2026-09-11T06:08:00Z mem_available_gib=15.47
ts=2026-09-11T06:08:10Z mem_available_gib=15.47
ts=2026-09-11T06:08:20Z mem_available_gib=15.47
ts=2026-09-11T06:08:30Z mem_available_gib=15.47
ts=2026-09-11T06:08:40Z mem_available_gib=15.48
ts=2026-09-11T06:08:50Z mem_available_gib=15.48
ts=2026-09-11T06:09:00Z mem_available_gib=15.48
ts=2026-09-11T06:09:11Z mem_available_gib=15.48
ts=2026-09-11T06:09:21Z mem_available_gib=15.47
ts=2026-09-11T06:09:31Z mem_available_gib=15.47
ts=2026-09-11T06:09:41Z mem_available_gib=15.47
ts=2026-09-11T06:09:51Z mem_available_gib=15.47
ts=2026-09-11T06:10:01Z mem_available_gib=15.47
ts=2026-09-11T06:10:11Z mem_available_gib=15.48
ts=2026-09-11T06:10:21Z mem_available_gib=15.48
ts=2026-09-11T06:10:31Z mem_available_gib=15.48
ts=2026-09-11T06:10:41Z mem_available_gib=15.48
ts=2026-09-11T06:10:51Z mem_available_gib=15.48
ts=2026-09-11T06:11:01Z mem_available_gib=15.48
ts=2026-09-11T06:11:12Z mem_available_gib=15.48
ts=2026-09-11T06:11:22Z mem_available_gib=15.48
ts=2026-09-11T06:11:32Z mem_available_gib=15.48
ts=2026-09-11T06:11:42Z mem_available_gib=15.48
ts=2026-09-11T06:11:52Z mem_available_gib=15.48
ts=2026-09-11T06:12:02Z mem_available_gib=15.48
ts=2026-09-11T06:12:12Z mem_available_gib=15.48
ts=2026-09-11T06:12:22Z mem_available_gib=15.48
ts=2026-09-11T06:12:32Z mem_available_gib=15.48
ts=2026-09-11T06:12:42Z mem_available_gib=15.48
ts=2026-09-11T06:12:52Z mem_available_gib=15.48
ts=2026-09-11T06:13:03Z mem_available_gib=15.48
ts=2026-09-11T06:13:13Z mem_available_gib=15.48
ts=2026-09-11T06:13:23Z mem_available_gib=15.48
ts=2026-09-11T06:13:33Z mem_available_gib=15.48
ts=2026-09-11T06:13:43Z mem_available_gib=15.48
ts=2026-09-11T06:13:53Z mem_available_gib=15.48
ts=2026-09-11T06:14:03Z mem_available_gib=15.49
ts=2026-09-11T06:14:13Z mem_available_gib=15.48
ts=2026-09-11T06:14:23Z mem_available_gib=15.48
ts=2026-09-11T06:14:33Z mem_available_gib=15.48
ts=2026-09-11T06:14:43Z mem_available_gib=15.49
ts=2026-09-11T06:14:53Z mem_available_gib=15.49
ts=2026-09-11T06:15:04Z mem_available_gib=15.49
ts=2026-09-11T06:15:14Z mem_available_gib=15.49
ts=2026-09-11T06:15:24Z mem_available_gib=15.49
ts=2026-09-11T06:15:34Z mem_available_gib=15.49
ts=2026-09-11T06:15:44Z mem_available_gib=15.49
ts=2026-09-11T06:15:54Z mem_available_gib=15.50
ts=2026-09-11T06:16:04Z mem_available_gib=15.50
ts=2026-09-11T06:16:14Z mem_available_gib=15.50
ts=2026-09-11T06:16:24Z mem_available_gib=15.50
ts=2026-09-11T06:16:34Z mem_available_gib=15.49
ts=2026-09-11T06:16:44Z mem_available_gib=15.49
ts=2026-09-11T06:16:54Z mem_available_gib=15.49
ts=2026-09-11T06:17:05Z mem_available_gib=15.48
ts=2026-09-11T06:17:15Z mem_available_gib=15.48
ts=2026-09-11T06:17:25Z mem_available_gib=15.46
ts=2026-09-11T06:17:35Z mem_available_gib=15.47
ts=2026-09-11T06:17:45Z mem_available_gib=15.47
ts=2026-09-11T06:17:55Z mem_available_gib=15.47
ts=2026-09-11T06:18:05Z mem_available_gib=15.47
ts=2026-09-11T06:18:15Z mem_available_gib=15.47
ts=2026-09-11T06:18:25Z mem_available_gib=15.47
ts=2026-09-11T06:18:35Z mem_available_gib=15.48
ts=2026-09-11T06:18:45Z mem_available_gib=15.49
ts=2026-09-11T06:18:56Z mem_available_gib=15.49
ts=2026-09-11T06:19:06Z mem_available_gib=15.49
ts=2026-09-11T06:19:16Z mem_available_gib=15.49
ts=2026-09-11T06:19:26Z mem_available_gib=15.49
ts=2026-09-11T06:19:36Z mem_available_gib=15.49
ts=2026-09-11T06:19:46Z mem_available_gib=15.49
ts=2026-09-11T06:19:56Z mem_available_gib=15.48
ts=2026-09-11T06:20:06Z mem_available_gib=15.48
ts=2026-09-11T06:20:16Z mem_available_gib=15.49
ts=2026-09-11T06:20:26Z mem_available_gib=15.49
ts=2026-09-11T06:20:37Z mem_available_gib=15.49
